reef_name,lat,lon,sector,year_before,year_after,coral_before,coral_after,change,pct_change
MCSWEENEY REEF,-11.0275,143.251,CG,2022,2023,11.319,13.654,2.33,20.6
MONSOON REEF,-11.133333,143.258333,CG,2022,2023,17.25,21.05,3.8,22.0
11049S,-11.358333,143.333333,CG,2022,2023,19.695,18.672,-1.02,-5.2
PEARSON REEF,-11.566667,143.716667,CG,2022,2023,31.836,20.286,-11.55,-36.3
11162S,-11.6,143.291667,CG,2022,2023,29.194,22.083,-7.11,-24.4
RAINE REEF,-11.6,144.025,CG,1995,1998,49.267,44.34,-4.93,-10.0
MIDDLE BANKS (2),-11.763333,143.651667,CG,2022,2023,77.083,68.889,-8.19,-10.6
BIRD ISLANDS REEF (NORTH),-11.766667,143.083333,CG,1998,2003,45.417,67.135,21.72,47.8
MIDDLE BANKS B (3),-11.771667,143.658333,CG,2022,2023,64.722,49.479,-15.24,-23.6
ASHMORE BANKS (2),-11.88,143.709833,CG,2022,2023,66.875,72.0,5.12,7.7
ASHMORE BANKS (1),-11.885167,143.629333,CG,2022,2023,86.458,51.591,-34.87,-40.3
SIR CHARLES HARDY ISLANDS (1),-11.908333,143.466667,CG,2013,2017,52.566,10.0,-42.57,-81.0
SIR CHARLES HARDY ISLANDS (2),-11.908333,143.466667,CG,2013,2017,49.293,10.357,-38.94,-79.0
ASHMORE BANKS (3),-11.926667,143.688167,CG,2022,2023,72.031,67.875,-4.16,-5.8
KAY REEF,-12.233333,143.283333,CG,2013,2017,55.298,14.246,-41.05,-74.2
MANTIS REEF,-12.275,143.891667,CG,2022,2023,33.241,39.357,6.12,18.4
FORBES ISLANDS REEF,-12.291667,143.408333,CG,2002,2005,56.036,39.714,-16.32,-29.1
LAGOON REEF,-12.391667,143.741667,CG,2022,2023,35.093,46.623,11.53,32.9
QUOIN REEF(12027),-12.4,143.533333,CG,2017,2021,12.5,23.75,11.25,90.0
12071S,-12.483333,143.75,CG,2021,2023,29.185,37.589,8.4,28.8
SECOND SMALL REEF,-12.566667,143.775,CG,2021,2023,39.013,43.092,4.08,10.5
CURD REEF,-12.591667,143.55,CG,2019,2021,14.632,17.759,3.13,21.4
