year,type,severity,label
1998,Bleaching,3,Mass bleaching
2002,Bleaching,2,Mass bleaching
2009,Cyclone,2,STC Hamish
2011,Cyclone,3,STC Yasi
2014,Cyclone,1,STC Ita
2015,Cyclone,1,STC Nathan
2016,Bleaching,3,Mass bleaching
2017,Bleaching,3,Mass bleaching
2017,Cyclone,1,STC Debbie
2018,COTS,3,COTS outbreak
2020,Bleaching,2,Mass bleaching
2022,Bleaching,2,Mass bleaching
2023,Cyclone,2,STC Jasper
2024,Cyclone,1,STC Kirrily
2024,Bleaching,3,Mass bleaching
2000,COTS,3,COTS outbreak
2001,COTS,3,COTS outbreak
2003,COTS,2,COTS outbreak
2013,COTS,2,COTS outbreak
