reef_name,sector,lat,lon,latest_coral_pct
MCSWEENEY REEF,CG,-11.0275,143.251,13.654
MONSOON REEF,CG,-11.133333,143.258333,21.05
11049S,CG,-11.358333,143.333333,18.672
PEARSON REEF,CG,-11.566667,143.716667,20.286
11162S,CG,-11.6,143.291667,22.083
RAINE REEF,CG,-11.6,144.025,44.34
MIDDLE BANKS (2),CG,-11.763333,143.651667,68.889
BIRD ISLANDS REEF (NORTH),CG,-11.766667,143.083333,67.135
MIDDLE BANKS B (3),CG,-11.771667,143.658333,49.479
ASHMORE BANKS (2),CG,-11.88,143.709833,72.0
ASHMORE BANKS (1),CG,-11.885167,143.629333,51.591
SIR CHARLES HARDY ISLANDS (1),CG,-11.908333,143.466667,10.0
SIR CHARLES HARDY ISLANDS (2),CG,-11.908333,143.466667,10.357
ASHMORE BANKS (3),CG,-11.926667,143.688167,67.875
KAY REEF,CG,-12.233333,143.283333,14.246
MANTIS REEF,CG,-12.275,143.891667,39.357
FORBES ISLANDS REEF,CG,-12.291667,143.408333,39.714
LAGOON REEF,CG,-12.391667,143.741667,46.623
QUOIN REEF(12027),CG,-12.4,143.533333,23.75
12071S,CG,-12.483333,143.75,37.589
SECOND SMALL REEF,CG,-12.566667,143.775,43.092
CURD REEF,CG,-12.591667,143.55,17.759
LOG REEF (SOUTH),CG,-12.675,143.841667,26.538
OSBORNE REEF,PC,-13.041667,143.625,9.881
13040S,PC,-13.266667,143.941667,35.25
CELEBRATION REEF,PC,-13.275,143.691667,11.759
SAND BANK NO 8 REEF,PC,-13.358333,143.958333,43.4
BLANCHARD REEF,PC,-13.416667,143.75,11.745
13063S,PC,-13.416667,143.816667,13.347
MORRIS ISLAND REEF,PC,-13.483333,143.733333,23.784
CREECH REEF (NORTH),PC,-13.625,144.108333,46.969
FIFE REEF,PC,-13.658333,143.725,40.662
13093A,PC,-13.758333,143.991667,7.105
13121S,PC,-13.783333,144.266667,29.421
13124S,PC,-13.866667,144.091667,36.028
HEDGE REEF,PC,-13.908333,143.958333,2.875
PELICAN ISLAND REEF(13107),PC,-13.916667,143.841667,30.213
