year,mean_cots_per_tow,mean_dead_coral,mean_baa,cyclone_event
1993,0.1062,2.12,0.1667,0
1994,0.0371,1.18,0.4164,0
1995,0.0627,1.09,0.3836,0
1996,0.1240,1.47,0.4604,0
1997,0.1660,1.33,0.2228,0
1998,0.1928,1.93,0.4575,0
1999,0.2157,1.95,0.3100,0
2000,1.4511,2.43,0.2668,0
2001,1.4792,2.06,0.3831,0
2002,0.4205,2.27,0.5292,0
2003,1.0722,2.31,0.3461,0
2004,0.1944,2.28,0.5150,0
2005,0.1477,1.70,0.3936,0
2006,0.1279,1.73,0.3804,0
2007,0.0415,1.59,0.2868,0
2008,0.1039,1.52,0.4640,0
2009,0.0107,1.81,0.5662,1
2010,0.0233,1.59,0.6224,0
2011,0.0199,1.40,0.5945,1
2012,0.0562,1.20,0.4267,0
2013,0.2417,1.84,0.4132,0
2014,0.1537,1.47,0.2909,1
2015,0.2434,1.54,0.4416,1
2016,0.0562,1.66,0.7650,0
2017,0.1108,6.14,0.8484,1
2018,0.7163,1.60,0.5434,0
2019,0.2380,1.39,0.3420,0
2020,0.1594,1.23,0.7505,0
2021,0.1511,0.85,0.7201,0
2022,0.1583,1.23,1.0288,0
2023,0.1749,1.74,0.5950,1
