year,mean_ssta,max_dhw,max_baa,mean_baa
1993,0.0821,1.58,2,0.1667
1994,0.1648,2.52,3,0.4164
1995,0.3858,2.21,2,0.3836
1996,0.5811,2.05,3,0.4604
1997,-0.0671,1.34,2,0.2228
1998,1.0543,1.86,3,0.4575
1999,0.2594,1.84,2,0.3100
2000,0.1339,1.68,2,0.2668
2001,0.5578,1.99,3,0.3831
2002,0.4693,2.65,4,0.5292
2003,0.5191,2.17,3,0.3461
2004,0.4883,2.68,4,0.5150
2005,0.5364,1.82,3,0.3936
2006,0.2701,1.71,4,0.3804
2007,0.3813,1.49,2,0.2868
2008,0.4473,1.70,3,0.4640
2009,0.8154,1.89,4,0.5662
2010,1.2608,2.12,4,0.6224
2011,0.4760,1.96,4,0.5945
2012,0.5115,1.64,3,0.4267
2013,0.7186,1.92,3,0.4132
2014,0.4399,1.59,2,0.2909
2015,0.6256,1.68,3,0.4416
2016,1.2997,2.27,4,0.7650
2017,0.9804,2.00,4,0.8484
2018,0.6794,1.85,4,0.5434
2019,0.4172,1.44,3,0.3420
2020,0.9572,2.31,4,0.7505
2021,1.1564,2.23,4,0.7201
2022,1.4736,1.92,4,1.0288
2023,1.0441,1.75,4,0.5950
2024,1.1841,2.31,4,1.0446
