lat,lon,dhw,sst,ssta
-9.975,142.025,4.81,29.7,0.97
-9.975,142.275,5.16,29.75,1.08
-9.975,142.525,5.39,29.83,1.27
-9.975,142.775,4.86,29.88,1.42
-9.975,143.025,4.03,29.79,1.39
-9.975,143.275,2.57,29.55,1.18
-9.975,143.525,1.39,29.21,0.92
-9.975,143.775,1.39,28.98,0.83
-9.975,144.025,1.46,28.99,0.93
-9.975,144.275,5.87,29.14,1.03
-9.975,144.525,9.18,29.09,0.93
-9.975,144.775,11.38,29.14,0.91
-9.975,145.025,12.86,29.22,0.87
-9.975,145.275,12.38,29.24,0.81
-9.975,145.525,11.95,29.23,0.84
-9.975,145.775,10.92,29.12,0.77
-9.975,146.025,10.42,29.16,0.8
-9.975,146.275,11.35,29.24,0.85
-9.975,146.525,11.6,29.25,0.77
-9.975,146.775,11.41,29.3,0.74
-9.975,147.025,12.36,29.42,0.81
-9.975,147.275,12.78,29.65,0.99
-9.975,147.525,10.48,29.75,1.13
-9.975,149.925,13.17,30.23,1.35
-9.975,150.175,13.76,30.29,1.39
-9.975,150.425,12.59,30.23,1.31
-9.975,150.675,9.62,30.09,1.22
-9.975,151.025,9.1,29.92,1.16
-9.975,151.275,6.53,29.77,1.08
-9.975,151.525,7.81,29.69,1.07
-9.975,151.775,8.02,29.6,0.98
-9.975,152.025,7.47,29.54,0.9
-9.975,152.275,7.25,29.63,0.95
-9.975,152.525,7.74,29.71,1.01
-9.975,152.775,8.58,29.79,1.06
-9.975,153.025,8.39,29.91,1.15
-9.975,153.275,7.72,30.11,1.32
-9.975,153.525,7.69,30.17,1.34
-9.975,153.775,7.2,30.18,1.3
-9.975,154.025,7.2,30.28,1.38
-10.025,142.225,4.94,29.73,1.05
-10.025,142.475,5.41,29.8,1.23
-10.025,142.725,4.93,29.86,1.39
-10.025,142.975,4.22,29.82,1.41
-10.025,143.225,2.62,29.61,1.22
-10.025,143.475,1.87,29.31,1.0
-10.025,143.725,1.56,29.02,0.84
-10.025,143.975,1.11,28.98,0.91
-10.025,144.225,4.81,29.11,1.01
-10.025,144.475,8.3,29.09,0.92
-10.025,144.725,10.65,29.14,0.91
-10.025,144.975,12.94,29.24,0.9
-10.025,145.225,12.35,29.26,0.82
-10.025,145.475,11.77,29.25,0.83
-10.025,145.725,11.16,29.16,0.8
-10.025,145.975,10.44,29.17,0.81
-10.025,146.225,11.38,29.26,0.87
-10.025,146.475,11.66,29.27,0.81
-10.025,146.725,11.26,29.29,0.74
-10.025,146.975,11.93,29.36,0.76
-10.025,147.225,12.68,29.58,0.93
-10.025,147.475,11.17,29.73,1.11
-10.025,147.725,8.73,29.65,1.09
-10.025,149.975,12.92,30.25,1.38
-10.025,150.225,13.75,30.29,1.39
-10.025,150.475,11.94,30.2,1.31
-10.025,150.725,9.15,30.05,1.22
