reef_name,year,lat,mean_live_coral,sector
LOW ISLANDS REEF,1993,-16.383333,25.76,CA
LOW ISLANDS REEF,1996,-16.383333,29.57,CA
LOW ISLANDS REEF,1997,-16.383333,30.04,CA
LOW ISLANDS REEF,1998,-16.383333,37.42,CA
LOW ISLANDS REEF,1999,-16.383333,23.88,CA
LOW ISLANDS REEF,2000,-16.383333,12.86,CA
LOW ISLANDS REEF,2002,-16.383333,12.07,CA
LOW ISLANDS REEF,2004,-16.383333,16.25,CA
LOW ISLANDS REEF,2006,-16.383333,20.75,CA
LOW ISLANDS REEF,2007,-16.383333,24.5,CA
LOW ISLANDS REEF,2008,-16.383333,26.64,CA
LOW ISLANDS REEF,2010,-16.383333,37.93,CA
LOW ISLANDS REEF,2017,-16.383333,44.86,CA
LOW ISLANDS REEF,2019,-16.383333,26.93,CA
LOW ISLANDS REEF,2020,-16.383333,16.2,CA
LOW ISLANDS REEF,2021,-16.383333,21.8,CA
LOW ISLANDS REEF,2022,-16.383333,41.21,CA
LOW ISLANDS REEF,2023,-16.383333,39.23,CA
GREEN ISLAND REEF,1993,-16.758333,9.06,CA
GREEN ISLAND REEF,1994,-16.758333,6.42,CA
GREEN ISLAND REEF,1995,-16.758333,9.06,CA
GREEN ISLAND REEF,1996,-16.758333,16.22,CA
GREEN ISLAND REEF,1997,-16.758333,9.2,CA
GREEN ISLAND REEF,1998,-16.758333,4.44,CA
GREEN ISLAND REEF,1999,-16.758333,5.18,CA
GREEN ISLAND REEF,2002,-16.758333,4.42,CA
GREEN ISLAND REEF,2003,-16.758333,3.06,CA
GREEN ISLAND REEF,2004,-16.758333,5.36,CA
GREEN ISLAND REEF,2005,-16.758333,4.42,CA
GREEN ISLAND REEF,2006,-16.758333,7.75,CA
GREEN ISLAND REEF,2007,-16.758333,6.5,CA
GREEN ISLAND REEF,2010,-16.758333,10.58,CA
GREEN ISLAND REEF,2012,-16.758333,9.9,CA
GREEN ISLAND REEF,2013,-16.758333,8.39,CA
GREEN ISLAND REEF,2015,-16.758333,6.71,CA
GREEN ISLAND REEF,2017,-16.758333,14.94,CA
GREEN ISLAND REEF,2019,-16.758333,4.44,CA
GREEN ISLAND REEF,2021,-16.758333,13.21,CA
GREEN ISLAND REEF,2022,-16.758333,20.44,CA
GREEN ISLAND REEF,2023,-16.758333,18.7,CA
FITZROY ISLAND REEF,1994,-16.925,4.59,CA
FITZROY ISLAND REEF,1995,-16.925,6.18,CA
FITZROY ISLAND REEF,1996,-16.925,8.58,CA
FITZROY ISLAND REEF,1998,-16.925,27.29,CA
FITZROY ISLAND REEF,1999,-16.925,8.54,CA
FITZROY ISLAND REEF,2002,-16.925,4.1,CA
FITZROY ISLAND REEF,2005,-16.925,13.5,CA
FITZROY ISLAND REEF,2006,-16.925,12.29,CA
FITZROY ISLAND REEF,2007,-16.925,17.07,CA
