sector,sector_name,year,mean_coral,n_reefs,order
CG,Cape Grenville,1993,44.44,7,1
CG,Cape Grenville,1994,37.7,6,1
CG,Cape Grenville,1995,43.25,9,1
CG,Cape Grenville,1996,42.65,7,1
CG,Cape Grenville,1998,39.7,13,1
CG,Cape Grenville,2002,44.1,5,1
CG,Cape Grenville,2003,51.76,2,1
CG,Cape Grenville,2004,43.02,6,1
CG,Cape Grenville,2005,38.71,6,1
CG,Cape Grenville,2006,25.45,5,1
CG,Cape Grenville,2013,36.48,11,1
CG,Cape Grenville,2017,31.69,11,1
CG,Cape Grenville,2019,32.1,9,1
CG,Cape Grenville,2020,29.38,14,1
CG,Cape Grenville,2021,32.77,17,1
CG,Cape Grenville,2022,45.4,12,1
CG,Cape Grenville,2023,40.87,14,1
PC,Princess Charlotte Bay,1993,25.39,7,2
PC,Princess Charlotte Bay,1994,22.94,6,2
PC,Princess Charlotte Bay,1995,19.77,6,2
PC,Princess Charlotte Bay,1996,27.25,7,2
PC,Princess Charlotte Bay,1998,28.4,6,2
PC,Princess Charlotte Bay,1999,29.46,6,2
PC,Princess Charlotte Bay,2000,28.66,6,2
PC,Princess Charlotte Bay,2001,33.13,6,2
PC,Princess Charlotte Bay,2002,30.04,6,2
PC,Princess Charlotte Bay,2003,24.62,2,2
PC,Princess Charlotte Bay,2004,24.69,3,2
PC,Princess Charlotte Bay,2005,25.88,5,2
PC,Princess Charlotte Bay,2006,13.72,6,2
PC,Princess Charlotte Bay,2013,24.12,13,2
PC,Princess Charlotte Bay,2015,35.03,5,2
PC,Princess Charlotte Bay,2017,19.43,10,2
PC,Princess Charlotte Bay,2019,21.35,9,2
PC,Princess Charlotte Bay,2020,16.68,9,2
PC,Princess Charlotte Bay,2021,28.48,11,2
PC,Princess Charlotte Bay,2022,40.27,6,2
PC,Princess Charlotte Bay,2023,33.44,10,2
CL,Cooktown-Lizard,1993,24.81,14,3
CL,Cooktown-Lizard,1994,29.98,17,3
CL,Cooktown-Lizard,1995,22.37,19,3
CL,Cooktown-Lizard,1996,24.59,21,3
CL,Cooktown-Lizard,1997,22.68,12,3
CL,Cooktown-Lizard,1998,16.76,20,3
CL,Cooktown-Lizard,1999,25.5,20,3
CL,Cooktown-Lizard,2000,25.93,21,3
CL,Cooktown-Lizard,2001,21.76,21,3
CL,Cooktown-Lizard,2002,21.12,18,3
CL,Cooktown-Lizard,2003,23.96,16,3
CL,Cooktown-Lizard,2004,16.03,20,3
CL,Cooktown-Lizard,2005,23.94,19,3
CL,Cooktown-Lizard,2006,20.92,18,3
CL,Cooktown-Lizard,2007,20.29,20,3
CL,Cooktown-Lizard,2008,19.43,8,3
CL,Cooktown-Lizard,2009,23.79,28,3
CL,Cooktown-Lizard,2010,23.53,23,3
CL,Cooktown-Lizard,2011,24.69,16,3
CL,Cooktown-Lizard,2013,22.39,22,3
CL,Cooktown-Lizard,2015,12.33,22,3
CL,Cooktown-Lizard,2017,6.14,11,3
CL,Cooktown-Lizard,2019,7.82,8,3
CL,Cooktown-Lizard,2020,14.04,3,3
CL,Cooktown-Lizard,2021,23.63,26,3
CL,Cooktown-Lizard,2022,29.74,8,3
CL,Cooktown-Lizard,2023,34.01,18,3
CA,Cairns,1993,19.04,15,4
